,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
0,,,,,,0,0,0,,0001-01-01T00:00:00Z
1,,,,,,0,0,0,,0001-01-01T00:00:00Z
2,,,,,,0,0,0,,0001-01-01T00:00:00Z
3,,,,,,0,0,0,,0001-01-01T00:00:00Z
4,,,,,,0,0,0,,0001-01-01T00:00:00Z
5,,,,,,0,0,0,,0001-01-01T00:00:00Z
6,,,,,,0,0,0,,0001-01-01T00:00:00Z
7,,,,,,0,0,0,,0001-01-01T00:00:00Z
8,,,,,,0,0,0,,0001-01-01T00:00:00Z
9,,,,,,0,0,0,,0001-01-01T00:00:00Z
10,,,,,,0,0,0,,0001-01-01T00:00:00Z
11,,,,,,0,0,0,,0001-01-01T00:00:00Z
12,,,,,,0,0,0,,0001-01-01T00:00:00Z
13,,,,,,0,0,0,,0001-01-01T00:00:00Z
14,,,,,,0,0,0,,0001-01-01T00:00:00Z
15,,,,,,0,0,0,,0001-01-01T00:00:00Z
16,,,,,,0,0,0,,0001-01-01T00:00:00Z
17,,,,,,0,0,0,,0001-01-01T00:00:00Z
18,,,,,,0,0,0,,0001-01-01T00:00:00Z
19,,,,,,0,0,0,,0001-01-01T00:00:00Z
20,,,,,,0,0,0,,0001-01-01T00:00:00Z
21,,,,,,0,0,0,,0001-01-01T00:00:00Z
22,,,,,,0,0,0,,0001-01-01T00:00:00Z
23,,,,,,0,0,0,,0001-01-01T00:00:00Z
24,,,,,,0,0,0,,0001-01-01T00:00:00Z
25,,,,,,0,0,0,,0001-01-01T00:00:00Z
26,,,,,,0,0,0,,0001-01-01T00:00:00Z
27,,,,,,0,0,0,,0001-01-01T00:00:00Z
28,,,,,,0,0,0,,0001-01-01T00:00:00Z
29,,,,,,0,0,0,,0001-01-01T00:00:00Z
30,,,,,,0,0,0,,0001-01-01T00:00:00Z
31,,,,,,0,0,0,,0001-01-01T00:00:00Z
32,,,,,,0,0,0,,0001-01-01T00:00:00Z
33,,,,,,0,0,0,,0001-01-01T00:00:00Z
34,,,,,,0,0,0,,0001-01-01T00:00:00Z
