,class
1120,acc
1000,unacc
1504,acc
1202,good
353,unacc
550,unacc
954,unacc
1282,good
687,unacc
244,unacc
18,unacc
340,acc
1275,unacc
1642,acc
1312,acc
809,acc
997,acc
154,unacc
267,unacc
286,acc
1402,acc
463,unacc
234,unacc
685,unacc
1332,unacc
780,unacc
878,acc
987,unacc
1363,acc
1540,unacc
276,unacc
746,acc
916,acc
1267,good
932,acc
1662,unacc
1147,acc
968,acc
1371,unacc
1058,unacc
1043,acc
1093,acc
807,unacc
1251,unacc
1284,unacc
447,unacc
1541,unacc
1585,acc
180,unacc
122,unacc
1107,unacc
70,unacc
1566,unacc
1457,vgood
1522,acc
1692,unacc
551,acc
437,unacc
335,acc
1286,vgood
1278,unacc
401,acc
1727,vgood
453,unacc
29,unacc
1266,unacc
214,unacc
937,unacc
1095,unacc
1235,good
270,unacc
1517,unacc
749,acc
149,unacc
119,unacc
15,unacc
1440,unacc
1005,unacc
617,acc
565,acc
824,acc
1581,unacc
1273,unacc
408,unacc
998,acc
663,unacc
1365,unacc
1542,unacc
33,unacc
1190,unacc
1076,acc
1398,unacc
1265,vgood
1723,good
1624,unacc
633,unacc
940,acc
310,acc
102,unacc
323,acc
347,acc
421,acc
493,unacc
549,unacc
941,acc
1607,vgood
1360,unacc
1714,good
1420,acc
20,unacc
1099,unacc
881,acc
1370,acc
792,unacc
1638,unacc
1330,unacc
863,acc
1247,unacc
1106,vgood
1572,unacc
1082,unacc
330,unacc
1195,unacc
822,unacc
1393,acc
1586,good
661,unacc
131,unacc
1132,acc
782,acc
991,unacc
207,unacc
1067,acc
1679,unacc
1394,acc
1361,acc
664,acc
1322,acc
1181,acc
433,unacc
488,unacc
382,unacc
894,unacc
678,unacc
699,unacc
355,unacc
1353,unacc
1567,unacc
1373,acc
566,acc
1644,unacc
155,unacc
1169,unacc
338,acc
1165,unacc
1155,unacc
94,unacc
1049,acc
1366,acc
1614,unacc
1124,vgood
345,unacc
688,unacc
1596,unacc
635,acc
715,acc
1535,good
1436,unacc
1640,unacc
1452,unacc
1,unacc
1336,unacc
1176,unacc
1223,unacc
1060,unacc
274,unacc
200,unacc
256,unacc
969,unacc
73,unacc
774,unacc
721,unacc
318,unacc
757,unacc
1293,unacc
691,acc
857,acc
179,unacc
292,acc
1154,acc
1239,unacc
783,unacc
1580,vgood
594,unacc
541,unacc
69,unacc
134,unacc
1156,acc
182,unacc
99,unacc
1687,good
1341,unacc
487,unacc
459,unacc
275,unacc
1310,acc
1253,good
426,unacc
770,acc
115,unacc
920,unacc
375,unacc
518,unacc
1694,good
1521,unacc
1710,unacc
1059,unacc
800,acc
915,unacc
754,acc
1046,acc
1722,unacc
1126,acc
239,acc
955,unacc
74,unacc
649,unacc
1292,vgood
264,unacc
1623,unacc
912,unacc
584,acc
1299,unacc
1555,good
1628,unacc
1512,unacc
1502,vgood
1565,vgood
475,unacc
1103,acc
875,acc
767,acc
1246,unacc
1666,acc
557,acc
1605,unacc
1335,unacc
495,unacc
1603,acc
778,unacc
1492,unacc
1092,unacc
660,unacc
1537,good
702,unacc
1713,unacc
1560,unacc
1086,unacc
1324,unacc
394,acc
892,unacc
427,acc
1298,unacc
135,unacc
1716,unacc
1305,unacc
1588,good
1382,unacc
1637,vgood
1529,vgood
713,acc
813,unacc
1539,unacc
296,acc
1358,unacc
226,unacc
982,unacc
243,unacc
1508,vgood
241,acc
225,unacc
805,acc
309,unacc
1019,acc
1505,acc
742,acc
434,unacc
205,unacc
109,unacc
1217,unacc
167,unacc
395,acc
1272,unacc
257,acc
597,unacc
1442,acc
802,unacc
1339,acc
186,unacc
450,unacc
1465,unacc
925,unacc
690,unacc
52,unacc
272,unacc
616,acc
197,unacc
24,unacc
1303,unacc
188,unacc
623,unacc
726,unacc
798,unacc
129,unacc
111,unacc
913,acc
668,unacc
221,unacc
334,unacc
1309,unacc
909,unacc
609,unacc
803,acc
60,unacc
961,acc
253,unacc
204,unacc
1098,unacc
548,unacc
1338,unacc
835,acc
838,unacc
819,unacc
1660,acc
177,unacc
348,unacc
311,acc
282,unacc
325,unacc
914,acc
730,unacc
478,unacc
949,unacc
820,unacc
1020,unacc
1478,acc
1167,unacc
1211,good
753,unacc
1701,unacc
1053,unacc
411,unacc
1615,good
619,acc
1151,vgood
369,unacc
171,unacc
1384,unacc
885,unacc
76,unacc
680,unacc
659,acc
1632,unacc
8,unacc
316,unacc
543,unacc
1711,acc
592,acc
419,acc
1564,good
381,unacc
923,unacc
629,unacc
1458,unacc
612,unacc
1718,vgood
1622,unacc
1674,unacc
1027,unacc
601,unacc
897,unacc
390,unacc
1702,unacc
833,acc
608,acc
505,unacc
1187,vgood
1684,acc
656,unacc
137,unacc
890,acc
1435,unacc
203,unacc
1119,unacc
930,unacc
1681,unacc
220,unacc
1443,unacc
168,unacc
1427,acc
681,unacc
326,unacc
886,unacc
367,acc
1229,good
27,unacc
364,unacc
965,acc
1245,unacc
801,unacc
106,unacc
830,acc
101,unacc
758,unacc
1648,unacc
317,acc
1477,acc
1598,unacc
277,unacc
1595,unacc
1475,vgood
500,unacc
1461,unacc
727,acc
1035,unacc
160,unacc
449,unacc
768,unacc
636,unacc
1592,vgood
1563,unacc
734,unacc
1383,unacc
1698,unacc
828,unacc
165,unacc
477,unacc
676,unacc
1682,unacc
1439,unacc
383,unacc
1726,good
1695,unacc
278,unacc
849,unacc
105,unacc
1039,acc
1388,acc
410,unacc
53,unacc
1354,unacc
795,unacc
1631,good
741,unacc
514,unacc
1212,unacc
196,unacc
380,unacc
1725,unacc
1037,acc
91,unacc
701,acc
1357,unacc
288,unacc
572,unacc
1206,unacc
1573,unacc
573,unacc
80,unacc
1377,unacc
599,unacc
1483,acc
1708,unacc
921,unacc
1415,acc
284,acc
696,unacc
1532,unacc
1227,unacc
1254,unacc
962,acc
1234,acc
999,unacc
732,unacc
368,acc
919,unacc
1030,unacc
888,unacc
840,unacc
1240,good
372,unacc
1619,vgood
737,unacc
806,acc
151,unacc
993,unacc
972,unacc
25,unacc
1002,unacc
1088,unacc
420,unacc
1510,acc
1600,unacc
